_id,TRACKINGNUMBER,INSPECTIONDATE,INSPTYPE,NUMCRITICAL,NUMNONCRITICAL,VIOLLUMP,HAZARDRATING
589,GEDS-7TBT7Q,20170711,Follow-Up,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
590,GEDS-7TBT7Q,20170626,Routine,1,3,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
591,GEDS-7TBT7Q,20170131,Follow-Up,0,0,,Low
592,GEDS-7TBT7Q,20170125,Routine,2,1,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
593,A019968,20200312,Follow-Up,0,0,,Low
594,A019968,20200311,Routine,1,1,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
595,A019968,20200102,Follow-Up,0,0,,Low
596,A019968,20191213,Routine,1,3,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
597,A019968,20190404,Follow-Up,0,0,,Low
598,A019968,20190328,Follow-Up,0,0,,Low
599,A019968,20190327,Routine,1,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
600,A019968,20181122,Follow-Up,0,0,,Low
601,A019968,20181121,Routine,1,4,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|310,Not Critical,Single use containers & utensils are used more than once [s. 20],Not Repeat",Moderate
602,A019968,20180829,Follow-Up,0,0,,Low
603,A019968,20180820,Routine,1,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
604,A019968,20180216,Routine,0,0,,Low
605,A019968,20171016,Routine,0,4,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|310,Not Critical,Single use containers & utensils are used more than once [s. 20],Not Repeat",Low
606,A019968,20170718,Follow-Up,0,0,,Low
607,A019968,20170613,Routine,4,6,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|310,Not Critical,Single use containers & utensils are used more than once [s. 20],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
608,JDSO-ACJV37,20200311,Routine,0,0,,Low
609,JDSO-ACJV37,20190207,Follow-Up,0,0,,Low
610,JDSO-ACJV37,20190206,Routine,2,0,"202,Critical,Food not processed in a manner that makes it safe to eat [s. 14(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",High
611,JDSO-ACJV37,20180131,Routine,0,0,,Low
612,JDSO-ACJV37,20170324,Routine,0,0,,Low
613,GEDS-6HLMTJ,20210113,Routine,1,2,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|210,Not Critical,Food not thawed in an acceptable manner [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
614,GEDS-6HLMTJ,20201014,Follow-Up,0,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
615,GEDS-6HLMTJ,20200916,Routine,3,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
616,GEDS-6HLMTJ,20200505,Routine,2,1,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|310,Not Critical,Single use containers & utensils are used more than once [s. 20],Not Repeat",Low
617,GEDS-6HLMTJ,20191107,Routine,1,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
618,GEDS-6HLMTJ,20190703,Follow-Up,0,0,,Low
619,GEDS-6HLMTJ,20190625,Routine,4,4,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat",High
620,GEDS-6HLMTJ,20190305,Routine,3,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
621,GEDS-6HLMTJ,20181129,Follow-Up,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
622,GEDS-6HLMTJ,20181107,Routine,3,3,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
623,GEDS-6HLMTJ,20180801,Follow-Up,0,0,,Low
624,GEDS-6HLMTJ,20180725,Routine,1,2,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat",Moderate
625,GEDS-6HLMTJ,20180412,Follow-Up,1,1,"309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
626,GEDS-6HLMTJ,20180302,Routine,4,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
627,GEDS-6HLMTJ,20171130,Follow-Up,1,1,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
628,GEDS-6HLMTJ,20171109,Routine,1,3,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat",High
629,GEDS-6HLMTJ,20170804,Follow-Up,1,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat",Low
630,GEDS-6HLMTJ,20170705,Routine,1,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Moderate
631,GEDS-6HLMTJ,20170217,Routine,1,2,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat",Low
632,RORS-63ZMXY,20191016,Routine,0,2,"311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|501,Not Critical,Operator does not have FOODSAFE Level 1 or Equivalent [s. 10(1)],Not Repeat",Low
633,RORS-63ZMXY,20190205,Follow-Up,0,0,,Low
634,RORS-63ZMXY,20190201,Routine,1,1,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Moderate
635,RORS-63ZMXY,20181012,Routine,0,0,,Low
636,RORS-63ZMXY,20180327,Routine,0,0,,Low
637,RORS-63ZMXY,20171123,Routine,0,0,,Low
638,RORS-63ZMXY,20170329,Routine,0,0,,Low
639,RORS-63ZMXY,20170201,Routine,0,0,,Low
640,NDAA-94FQEJ,20191210,Routine,0,0,,Low
641,NDAA-94FQEJ,20190604,Routine,0,0,,Low
642,NDAA-94FQEJ,20181102,Routine,0,0,,Low
643,NDAA-94FQEJ,20180529,Routine,0,0,,Low
644,NDAA-94FQEJ,20171207,Routine,0,0,,Low
645,NDAA-94FQEJ,20170607,Routine,0,0,,Low
646,NDAA-94FQEJ,20170203,Routine,0,0,,Low
647,SWOD-AF3QQF,20200901,Follow-Up,0,0,,Low
648,SWOD-AF3QQF,20200819,Routine,2,3,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat|501,Not Critical,Operator does not have FOODSAFE Level 1 or Equivalent [s. 10(1)],Not Repeat",High
649,SWOD-AF3QQF,20191017,Routine,0,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
650,SWOD-AF3QQF,20190625,Follow-Up,0,0,,Low
651,SWOD-AF3QQF,20190417,Routine,1,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat|502,Not Critical,In operators absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Moderate
652,SWOD-AF3QQF,20190130,Follow-Up,0,0,,Low
653,SWOD-AF3QQF,20190118,Follow-Up,0,0,,Low
654,SWOD-AF3QQF,20190117,Routine,3,4,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
655,SWOD-AF3QQF,20180810,Routine,1,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
656,SWOD-AF3QQF,20180209,Follow-Up,0,0,,Low
657,SWOD-AF3QQF,20180206,Routine,2,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat",Moderate
658,SWOD-AF3QQF,20170829,Follow-Up,2,3,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
659,SWOD-AF3QQF,20170818,Routine,3,4,"103,Not Critical,Failure to hold a valid permit while operating a food service establishment [s. 8(1)],Not Repeat|205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|212,Not Critical,Operator has not provided acceptable written food handling procedures [s. 23],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
660,SWOD-AF3QQF,20170316,Follow-Up,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
661,SWOD-AF3QQF,20170306,Routine,1,3,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Moderate
662,HCAR-BCUQRD,20200722,Routine,1,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Moderate
663,HCAR-BCUQRD,20200116,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
664,HCAR-BCUQRD,20191008,Routine,0,0,,Low
665,HCAR-BCUQRD,20190704,Routine,2,2,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
666,GEDS-78NVVM,20200727,Follow-Up,0,0,,Low
667,GEDS-78NVVM,20200629,Routine,3,1,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat",Moderate
668,GEDS-78NVVM,20200128,Routine,0,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
669,GEDS-78NVVM,20191025,Follow-Up,0,0,,Low
670,GEDS-78NVVM,20191017,Follow-Up,1,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Moderate
671,GEDS-78NVVM,20191002,Follow-Up,1,1,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
672,GEDS-78NVVM,20190731,Follow-Up,0,0,,Low
673,GEDS-78NVVM,20190729,Routine,1,3,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",High
674,GEDS-78NVVM,20190319,Routine,1,2,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
675,GEDS-78NVVM,20181022,Follow-Up,0,0,,Low
676,GEDS-78NVVM,20181019,Routine,2,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat",Low
677,GEDS-78NVVM,20180213,Routine,0,4,"212,Not Critical,Operator has not provided acceptable written food handling procedures [s. 23],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|314,Not Critical,Operator has not provided acceptable written sanitation procedures [s. 24],Not Repeat",Low
678,GEDS-78NVVM,20170609,Follow-Up,0,0,,Low
679,GEDS-78NVVM,20170607,Follow-Up,0,0,,Low
680,GEDS-78NVVM,20170605,Routine,1,4,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|212,Not Critical,Operator has not provided acceptable written food handling procedures [s. 23],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|314,Not Critical,Operator has not provided acceptable written sanitation procedures [s. 24],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat",Low
681,SHEN-BCSUVC,20200109,Routine,0,0,,Low
682,SHEN-BCSUVC,20190822,Routine,1,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
683,SHEN-BCSUVC,20190703,Routine,0,0,,Low
684,SHEN-BCSUVC,20190611,Follow-Up,0,0,,Low
685,SHEN-BCSUVC,20190521,Follow-Up,0,0,,Low
686,SHEN-9PELJD,20200915,Routine,2,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
687,SHEN-9PELJD,20200303,Routine,1,0,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
688,SHEN-9PELJD,20190917,Routine,0,1,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
689,SHEN-9PELJD,20190305,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
690,SHEN-9PELJD,20181219,Routine,0,0,,Low
691,SHEN-9PELJD,20180129,Routine,0,0,,Low
692,SHEN-9PELJD,20170926,Routine,0,0,,Low
693,SHEN-9PELJD,20170208,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
694,PNEL-8R5V4M,20200213,Follow-Up,0,2,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
695,PNEL-8R5V4M,20200211,Routine,4,3,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|210,Not Critical,Food not thawed in an acceptable manner [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
696,PNEL-8R5V4M,20191125,Follow-Up,1,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|502,Not Critical,In operators absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Low
697,PNEL-8R5V4M,20191107,Follow-Up,0,3,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|502,Not Critical,In operators absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Low
698,PNEL-8R5V4M,20191023,Follow-Up,0,2,"307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat",Low
699,PNEL-8R5V4M,20191022,Routine,2,7,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|211,Not Critical,Frozen potentially hazardous food stored/displayed above -18 °C. [s. 14(3)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat|502,Not Critical,In operators absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",High
700,PNEL-8R5V4M,20190613,Follow-Up,0,0,,Low
701,PNEL-8R5V4M,20190611,Routine,3,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
702,PNEL-8R5V4M,20190107,Routine,4,3,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|212,Not Critical,Operator has not provided acceptable written food handling procedures [s. 23],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
703,PNEL-8R5V4M,20190107,Follow-Up,0,0,,Low
704,PNEL-8R5V4M,20180810,Follow-Up,0,0,,Low
705,PNEL-8R5V4M,20180801,Routine,2,3,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
706,PNEL-8R5V4M,20180309,Follow-Up,1,0,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat",Low
707,PNEL-8R5V4M,20180301,Routine,2,3,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",High
708,PNEL-8R5V4M,20170810,Routine,0,0,,Low
709,PNEL-8R5V4M,20170316,Follow-Up,0,0,,Low
710,PNEL-8R5V4M,20170313,Routine,3,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
711,SHEN-9ZWSSQ,20200507,Routine,1,0,"401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
712,SHEN-9ZWSSQ,20191113,Routine,0,0,,Low
713,SHEN-9ZWSSQ,20190606,Routine,0,0,,Low
714,SHEN-9ZWSSQ,20190115,Follow-Up,0,0,,Low
